DiffIR version=1 fingerprint=0ee902b1528f74aecab75fd2ef96fdd07749f5a4e8e8256524da33d5ca4e761f tensors=363 operations=168
tensor id=349 dtype=bf16 roles=12 shape=3072 bytes=6144
tensor id=350 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
tensor id=351 dtype=bf16 roles=0 shape=512x24x128 bytes=3145728
tensor id=352 dtype=bf16 roles=0 shape=512x24x128 bytes=3145728
tensor id=353 dtype=bf16 roles=0 shape=512x24x128 bytes=3145728
tensor id=354 dtype=bf16 roles=0 shape=512x24x128 bytes=3145728
tensor id=355 dtype=bf16 roles=0 shape=512x24x128 bytes=3145728
tensor id=356 dtype=bf16 roles=0 shape=512x24x128 bytes=3145728
tensor id=357 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
tensor id=358 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
tensor id=359 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
tensor id=360 dtype=bf16 roles=0 shape=512x16384 bytes=16777216
tensor id=361 dtype=bf16 roles=0 shape=512x8192 bytes=8388608
tensor id=362 dtype=bf16 roles=0 shape=512x3072 bytes=3145728
tensor id=363 dtype=bf16 roles=2 shape=512x3072 bytes=3145728
op id=1 code=rms_norm_modulate inputs=4 outputs=1 attrs=2
op id=2 code=linear inputs=2 outputs=1 attrs=2
op id=3 code=linear inputs=2 outputs=1 attrs=2
op id=4 code=linear inputs=2 outputs=1 attrs=2
op id=5 code=qk_norm_partial_rope inputs=4 outputs=1 attrs=5
op id=6 code=qk_norm_partial_rope inputs=4 outputs=1 attrs=5
op id=7 code=attention inputs=3 outputs=1 attrs=3
op id=8 code=linear inputs=2 outputs=1 attrs=2
op id=9 code=residual_gate inputs=3 outputs=1 attrs=2
op id=10 code=rms_norm_modulate inputs=4 outputs=1 attrs=2
op id=11 code=linear inputs=2 outputs=1 attrs=2
op id=12 code=swiglu inputs=1 outputs=1 attrs=2
op id=13 code=linear inputs=2 outputs=1 attrs=2
op id=14 code=residual_gate inputs=3 outputs=1 attrs=2
op id=15 code=rms_norm_modulate inputs=4 outputs=1 attrs=2
op id=16 code=linear inputs=2 outputs=1 attrs=2
op id=17 code=linear inputs=2 outputs=1 attrs=2
op id=18 code=linear inputs=2 outputs=1 attrs=2
